time,magnitude,e_magnitude,band,telescope
59472.45192130003,19.262999999999998,0.14058900000000002,sdssg,ZTF
59471.471319399774,19.3037,0.158978,sdssr,ZTF
59469.47543979995,19.2579,0.11343800000000001,sdssr,ZTF
59462.50646989979,19.2569,0.12225899999999999,sdssr,ZTF
59462.503946799785,19.2479,0.108945,sdssr,ZTF
59462.501435200225,19.2433,0.12756800000000001,sdssr,ZTF
59462.498923600186,19.1826,0.0931,sdssr,ZTF
59462.496400500175,19.1914,0.111918,sdssr,ZTF
59461.50484950003,19.2012,0.089284,sdssr,ZTF
59461.50231479992,19.26,0.125753,sdssr,ZTF
59461.49978009983,19.2478,0.11157,sdssr,ZTF
59461.49724540021,19.2452,0.11463800000000002,sdssr,ZTF
59461.494710599996,19.2634,0.11243399999999999,sdssr,ZTF
59460.50579860015,19.2413,0.12028699999999999,sdssr,ZTF
59460.50326390006,19.1684,0.113723,sdssr,ZTF
59460.50072919997,19.1273,0.10538800000000001,sdssr,ZTF
59460.49819440022,19.2932,0.11515399999999999,sdssr,ZTF
59460.49565970013,19.2746,0.122742,sdssr,ZTF
59456.50581019978,19.057000000000002,0.13049000000000002,sdssr,ZTF
59456.50076390012,19.3142,0.155452,sdssr,ZTF
59456.49824069999,19.0329,0.123926,sdssr,ZTF
59456.495729200076,19.1425,0.154263,sdssr,ZTF
59454.50306709996,19.1553,0.148346,sdssr,ZTF
59454.49811339984,19.2029,0.14441099999999998,sdssr,ZTF
59454.49564810004,19.1784,0.171759,sdssr,ZTF
59454.493171299815,19.0992,0.140968,sdssr,ZTF
59453.50119209987,19.1633,0.156606,sdssr,ZTF
59453.498726900194,19.2557,0.137549,sdssr,ZTF
59453.49626159994,19.1442,0.124223,sdssr,ZTF
59453.493796300136,19.2484,0.166345,sdssr,ZTF
59453.491319399785,18.9593,0.111429,sdssr,ZTF
59452.502338000115,19.1077,0.118432,sdssr,ZTF
59452.49986110022,19.1146,0.19128,sdssr,ZTF
59452.494919000186,19.0453,0.166791,sdssr,ZTF
59451.512777800206,19.1907,0.177394,sdssr,ZTF
59451.510381899774,19.0808,0.18693900000000002,sdssr,ZTF
59451.49098380003,19.053,0.17173,sdssr,ZTF
59450.51311339997,18.9728,0.316008,sdssr,ZTF
59450.50831020017,18.9351,0.24113099999999998,sdssr,ZTF
59450.505914399866,18.9519,0.32559699999999997,sdssr,ZTF
59450.501099499874,18.8304,0.21711,sdssr,ZTF
59450.49866899987,18.9656,0.267875,sdssr,ZTF
59450.49383099983,18.8962,0.24085399999999998,sdssr,ZTF
59449.509050900124,18.8883,0.282141,sdssr,ZTF
59449.50664350018,18.8391,0.292862,sdssr,ZTF
59446.50909719988,19.1431,0.268077,sdssr,ZTF
59446.5067245001,19.1514,0.21397600000000003,sdssr,ZTF
59446.50436339992,19.1472,0.182631,sdssr,ZTF
59446.50200230022,19.0706,0.17395,sdssr,ZTF
59444.503969899844,19.1163,0.23523400000000003,sdssr,ZTF
59444.5015741,19.0763,0.221487,sdssr,ZTF
59444.49917820003,19.1903,0.215488,sdssr,ZTF
59443.50840280019,18.6882,0.238813,sdssr,ZTF
59443.50361109991,18.9155,0.272971,sdssr,ZTF
59443.50121530006,19.247,0.298504,sdssr,ZTF
59443.49881940009,19.3393,0.280764,sdssr,ZTF
59442.5093866,18.8026,0.232735,sdssr,ZTF
59442.50699070003,19.0586,0.262155,sdssr,ZTF
59442.50459490017,18.8239,0.187895,sdssr,ZTF
